Company,TypeName,Inches,Ram,OpSys,Weight,Price,TouchScreen,IPS,HD_4K,CPU_Brand,GPU_Brand,Memory_Type,CPU_Frequency,Length,Width,PPI
HP,Notebook,15.6,8,Windows 10,1.1314021114911006,10.754367276099781,0,0,1,Intel,Nvidia,SSD,1.6,1920.0,1080.0,4.9573188885088015
Asus,Notebook,15.6,4,Linux,1.0986122886681098,9.939188617449547,0,0,1,Intel,Intel,HDD,2.0,1920.0,1080.0,4.9573188885088015
Dell,Gaming,15.6,16,Windows 10,1.2947271675944,11.288127045116099,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Asus,Notebook,15.6,8,Linux,1.1939224684724346,10.235159256444781,0,0,0,Intel,Nvidia,HDD,2.5,1366.0,768.0,4.6196120963719745
Acer,Notebook,15.6,4,Windows 10,1.1631508098056809,10.500618203885733,0,1,1,Intel,Intel,SSD,1.6,1920.0,1080.0,4.9573188885088015
Dell,2 in 1 Convertible,17.3,12,Windows 10,1.3270750014599193,10.882334592260529,1,0,1,Intel,Nvidia,HDD,1.6,1920.0,1080.0,4.854649288865456
Apple,Ultrabook,13.3,8,macOS,0.8628899551470398,11.233281930062116,0,1,0,Intel,Intel,SSD,2.0,2560.0,1600.0,5.429271085303593
Lenovo,Notebook,15.6,4,No OS,1.1631508098056809,9.88640853285114,0,0,0,Intel,Intel,SSD,2.0,1366.0,768.0,4.6196120963719745
Asus,Gaming,17.3,8,Windows 10,1.4350845252893227,11.14492549142712,0,0,1,AMD,AMD,Hybrid,3.0,1920.0,1080.0,4.854649288865456
Dell,Notebook,15.6,4,Windows 10,1.1939224684724346,10.435494852273417,0,0,1,Intel,AMD,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Notebook,17.3,4,Windows 10,1.33500106673234,10.11978693587454,0,0,0,Intel,Nvidia,HDD,1.1,1366.0,768.0,4.517250051379597
Lenovo,2 in 1 Convertible,10.1,4,Android,0.5247285289349821,9.740810963551926,1,1,0,Intel,Intel,Flash Storage,1.44,1920.0,1200.0,5.416872588785266
Acer,Notebook,15.6,8,Windows 10,1.1631508098056809,10.7101750031603,0,1,1,Intel,Nvidia,SSD,1.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,4,Windows 10,1.0508216248317612,9.963290528658876,0,0,1,AMD,AMD,SSD,2.5,1920.0,1080.0,4.9573188885088015
HP,Notebook,13.3,8,Windows 10,0.9122827104766162,10.981367061450355,0,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.115788496573994
Acer,Notebook,15.6,4,Windows 10,1.2237754316221157,9.92625245462742,0,0,0,Intel,Intel,HDD,2.4,1366.0,768.0,4.6196120963719745
Dell,Notebook,15.6,8,Windows 10,1.1410330045520618,10.619114753366912,0,0,1,Intel,AMD,SSD,1.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,4,Windows 10,1.068153081183401,10.060103191853011,0,0,1,Intel,Intel,SSD,2.0,1920.0,1080.0,4.9573188885088015
Asus,Notebook,15.6,4,Windows 10,1.0986122886681098,10.34923701306093,0,0,0,Intel,Intel,SSD,2.5,1366.0,768.0,4.6196120963719745
MSI,Gaming,17.3,16,Windows 10,1.2325602611778486,11.779003747004984,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Asus,Notebook,15.6,4,Linux,1.0986122886681098,10.00388477138901,0,0,1,Intel,Intel,SSD,2.0,1920.0,1080.0,4.9573188885088015
Dell,Notebook,17.3,16,Windows 10,1.33500106673234,11.14492549142712,0,0,1,Intel,AMD,Hybrid,1.8,1920.0,1080.0,4.854649288865456
Dell,Ultrabook,14.0,8,Windows 10,0.9932517730102833,10.754367276099781,0,0,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.064811007262561
Lenovo,Notebook,14.0,8,No OS,0.9932517730102833,10.370853957360486,0,1,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.064811007262561
Asus,Notebook,14.0,8,Windows 10,0.8754687373538999,10.822524111175213,0,0,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.064811007262561
HP,Notebook,15.6,8,Windows 10,1.0508216248317612,10.512279824567653,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Ultrabook,15.6,16,Windows 10,1.0296194171811583,11.567936619542625,0,0,1,Intel,Nvidia,SSD,2.8,1920.0,1080.0,4.9573188885088015
